IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;CV_PRICE_1;CV_CURRENCY_1
215;Удлинительный комплект для стеклоочистителей WV ;;0;3380.00;RUB
216;Угловая (изогнутая) струйная трубка ;;0;3870.00;RUB
218;Запасной пистолет для минимойки с креплением (зажим) ;;0;1700.00;RUB
219;Всасывающий шланг SH 5;;0;2150.00;RUB
220;Насадка T-RACER T 450;;0;6980.00;RUB
221;1-ступенчатая удлинительная трубка 0.4 метра;;0;1190.00;RUB
222;Латунный коннектор 1/2 и 5/8 для шлангов;;0;480.00;RUB
223;Латунный коннектор для шлангов 3/4;;0;570.00;RUB
224;"Садовый шланг PrimoFlex  1/2"" (20 м.)";;0;1250.00;RUB
225;"Шланг PrimoFlex 1/2"" (50 м.)";;0;3030.00;RUB
226;"Шланг PrimoFlex 3/4"" (25 м)";;0;2940.00;RUB
227;"Шланг PrimoFlex 3/4"" (50 м)";;0;5860.00;RUB
228;Универсальный коннектор;;0;240.00;RUB
229;"Универсальный коннекктор Plus  с функцией ""Аквастоп""";;0;350.00;RUB
230;Металлический пистолет-распылитель Premium;;0;1370.00;RUB
231;Многофункциональный металлический пистолет-распылитель Premium;;0;1780.00;RUB
232;Фильтр HEPA 13 для пылесосов DS 5.800 и DS 6.000;;0;1450.00;RUB
233; Набор для подключения электроинструмента к пылесосу;;0;1220.00;RUB
234;Насадка для уборки автомобиля к пылесосу Керхер;;0;1020.00;RUB
235;Удлинительная трубка к пылесосам WD, MV;;0;990.00;RUB
236;Удлиненная щелевая насадка к пылесосам WD, SE, MV ;;0;770.00;RUB
237;Насадка для ухода за текстилем на пароочиститель;;0;980.00;RUB
238;Фильтр HEPA 13 (для пылесоса VC 3);;0;990.00;RUB
239;Щетка для мебели (на пылесос VC 5);;0;700.00;RUB
240;Набор насадок для пола EasyFix на пароочистители;;0;2170.00;RUB
241;Чехол на гладильную доску Керхер;;0;2420.00;RUB
242;Моющая насадка для пылесоса SE;;0;1880.00;RUB
243;Напорный пульверизатор 1 л;;0;1350.00;RUB
244;Плоский складчатый фильтр Эко;;0;760.00;RUB
245;Патронный фильтр для пылесосов Karcher ;;0;980.00;RUB
246;Промежуточный фильтр защиты электродвигателя для пылесосов DS;;0;2000.00;RUB
247;Фильтр НЕРА 12 (для пылесосов VC 6);;0;1700.00;RUB
248;Сменный патронный фильтр к WD 4200/5300;;0;1450.00;RUB
249;Фильтр Hepa 13 для Karcher DS;;0;1450.00;RUB
250;Комплект фильтров для пылесосов SE ;;0;1140.00;RUB
251;Фильтр-мешок 3х-слойный для T12/1;;0;2090.00;RUB
252;Бумажные фильтр-мешки для пылесосов WD 2;;0;700.00;RUB
253;Фильтр-мешки из нетканного материала для пылесоса VC;;0;890.00;RUB
254;Бумажные фильтр-мешки для профессиональных пылесосов ;;0;1130.00;RUB
255;Фильтр-мешки для пылесосов серии NT;;0;1980.00;RUB
256;Плоский фильтр к пылесосам NT (только для замены) ;;0;1800.00;RUB
257;Щелевая насадка DN35;;0;260.00;RUB
258;Набор флисовых мешков для пылесоса серии NT 35 ;;0;1240.00;RUB
259;Бумажные фильтр-мешки для бытовых пылесосов (WD, SE) ;;0;700.00;RUB
260;Салфетки для пола на пароочиститель;;0;1090.00;RUB
261;Karcher K 3 Full Control мойка высокого давления;;0;0.00;RUB
262;Karcher K 4 Basic мойка высокого давления;;0;0.00;RUB
263;Karcher S 550 ручная подметальная машина;;0;8489.00;RUB
264;Karcher S 750 ручная подметальная машина;;0;19989.00;RUB
265;Karcher WD 3 Car хозяйственный пылесос;;0;7489.00;RUB
266;Karcher SC 1 пароочиститель;;0;4989.00;RUB
267;Karcher FC 5 аппарат для влажной уборки пола;;0;16489.00;RUB
268;PUZZI 8/1 C моющий пылесос;;0;36989.00;RUB
269;T 7/1 Classic *EU пылесос сухой уборки;;0;9989.00;RUB
270;Puzzi 10/2 Adv профессиональный моющий пылесос;;0;0.00;RUB
271;NT 65/2 Ap пылесос влажной и сухой уборки;;0;0.00;RUB
272;NT 27/1 пылесос влажной и сухой уборки;;0;0.00;RUB
273;HD 9/20-4 M мойка высокого давления;;0;0.00;RUB
274;HD 7/16-4 M *EU мойка высокого давления;;0;0.00;RUB
277;T 10/1 Adv пылесос сухой уборки;;0;14389.00;RUB
278;NT 27/1 ME промышленный пылесос Antracite;;0;0.00;RUB
279;HD 5/12 C мойка высокого давления;;0;45589.00;RUB
280;HD 5/17 C *EU мойка высокого давления;;0;56989.00;RUB
281;HD 6/15 M *EU мойка высокого давления;;0;0.00;RUB
282;HD 6/16-4 M *EU мойка высокого давления  (заменена на HD 7/14 -4M);;0;0.00;RUB
283; HD 7/14 -4M мойка высокого давления;;0;0.00;RUB
284;HD 7/18-4 M Classic мойка высокого давления;;0;0.00;RUB
285;HD 10/21-4 S *EU-I мойка высокого давления;;0;0.00;RUB
286;HD 10/23-4 S мойка высокого давления;;0;0.00;RUB
287;HD 10/25-4 S мойка высокого давления;;0;0.00;RUB
288;HDS 6/14 C мойка высокого давления;;0;0.00;RUB
289;HDS 8/18-4 C Classic мойка высокого давления;;0;0.00;RUB
290;HDS 8/18-4 M мойка высокого давления;;0;0.00;RUB
291;HDS 9/18-4 M мойка высокого давления;;0;0.00;RUB
292;HDS 10/20-4 M *EU-I мойка высокого давления;;0;0.00;RUB
293;NT 360 Eco промышленный пылесос Antracite;;0;0.00;RUB
294;PUZZI 10/1 профессиональный пылесос ;;0;50989.00;RUB
295;ROCK prof K1 (5) мешки-пылесборники;;0;550.00;RUB
296;Мешки-пылесборники ROCK prof K3 (16544) ;;0;800.00;RUB
297;"Щeт&#312;a c &#312;oлёcи&#312;aми и пepe&#312;лючaтeлeм RОСК рrоf UN21 (А3236)";;0;990.00;RUB
298;"Мeш&#312;и для пылecoca RОСКрrоf К25";;0;1200.00;RUB
299;Мешки-пылесборники ROCKprof SB-K1 (SB 6026) ;;0;1250.00;RUB
300;"RОСК рrоf UN3 mіnі-ТURВО ВRUЅН - щeт&#312;a для пылecoca yнивepcaльнaя";;0;870.00;RUB
301;ROCKprof SB-K1 (SB 6026) - мешок-пылесборник многоразовый ;;0;1250.00;RUB
302;RОСК рrоf НМF1 НЕРА фильтp для пылecoca;;0;800.00;RUB
303;RОСК рrоf НМF5 НЕРА фильтp для пылecoca КАRСНЕR ;;0;950.00;RUB
304;RОСКрrоf ЅВ-К11 (SB 7053) мешок-пылесборник мнoгopaзoвый ;;0;1450.00;RUB
305;"RОСКрrоf ЅВ-К25 (7592) мнoгopaзoвый мeшo&#312; для пылecoca КАRСНЕR";;0;1950.00;RUB
306;Комплект круглых щеток к пароочистителю (4 шт.);;0;450.00;RUB
307;Всасывающий шланг для пылесосов Karcher DS;;0;1540.00;RUB
308;Насадка для влажной и сухой уборки пола DT 35;;0;2320.00;RUB
309;Точечное сопло;;0;600.00;RUB
310;Рукоятка для пылесосов Karcher VC 6;;0;1270.00;RUB
311;Быстросъёмная муфта для бытовых моек ;;0;410.00;RUB
312;Фильтр тонкой очистки воды (в патрубок АВД) ;;0;180.00;RUB
313;Всасывающий шланг DN 35 для пылесосов серии WD 4.ХХХ и 5.ХХХ (2.2 м ) ;;0;1200.00;RUB
314;Всасывающий шланг для пылесосов WD (2.200, 3.200, 3.300, 3.500, 3.800), (2 м.) ;;0;2190.00;RUB
315;IPC Portotecnica G 131 - C I1306A PRT мойка высокого давления;;0;9430.00;RUB
316;IPC Portotecnica G151 - C I1508A - M  мойка высокого давления;;0;20510.00;RUB
320;Нейтрализатор запаха BLOCK бабл гам;;0;290.00;RUB
321;Нейтрализатор запаха BLOCK кожа;;0;290.00;RUB
322;Нейтрализатор запаха BLOCK кофе;;0;290.00;RUB
323;Средство для устранения плесени FUNGUS Complex;;0;230.00;RUB
324;Низкопенный очиститель ковровых покрытий NOVATEC (5 л);;0;1050.00;RUB
325;Средство мойки класс суперпремиум ACE Complex (1 л);;0;480.00;RUB
326;Средство мойки класс суперпремиум ACE Complex (20 л);;0;4010.00;RUB
327;Средство мойки класс суперпремиум ACE Complex (5 л);;0;1560.00;RUB
328;Средство для удаления следов насекомых DEBUG Complex (0,5 л);;0;230.00;RUB
329;Средство для удаления следов насекомых DEBUG Complex (1 л);;0;260.00;RUB
330;Средство для удаления следов насекомых DEBUG Complex (5 л);;0;750.00;RUB
331;Размораживатель стекол и замков DEFROSTER Complex (0,5 л).;;0;210.00;RUB
332;Средство для мойки авто GURU Complex (1 л);;0;460.00;RUB
333;Средство для мойки авто GURU Complex (20 л);;0;3770.00;RUB
334;Средство для мойки авто GURU Complex (5 л);;0;1530.00;RUB
335;Комплект HANDS NANOMAX средство для ручной мойки;;0;510.00;RUB
