IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;IP_PROP34
220;Насадка T-RACER T 450;;0;2.643-214.0
221;1-ступенчатая удлинительная трубка 0.4 метра;;0;2.643-240.0
222;Латунный коннектор 1/2 и 5/8 для шлангов;;0;2.645-015.0
223;Латунный коннектор для шлангов 3/4;;0;2.645-016.0
224;"Садовый шланг PrimoFlex  1/2"" (20 м.)";;0;2.645-138.0
225;"Шланг PrimoFlex 1/2"" (50 м.)";;0;2.645-139.0
226;"Шланг PrimoFlex 3/4"" (25 м)";;0;2.645-142.0
227;"Шланг PrimoFlex 3/4"" (50 м)";;0;2.645-143.0
228;Универсальный коннектор;;0;2.645-191.0
229;"Универсальный коннекктор Plus  с функцией ""Аквастоп""";;0;2.645-194.0
230;Металлический пистолет-распылитель Premium;;0;2.645-270.0
231;Многофункциональный металлический пистолет-распылитель Premium;;0;2.645-271.0
232;Фильтр HEPA 13 для пылесосов DS 5.800 и DS 6.000;;0;2.860-273.0
233; Набор для подключения электроинструмента к пылесосу;;0;2.863-112.0
234;Насадка для уборки автомобиля к пылесосу Керхер;;0;2.863-145.0
235;Удлинительная трубка к пылесосам WD, MV;;0;2.863-148.0
236;Удлиненная щелевая насадка к пылесосам WD, SE, MV ;;0;2.863-223.0
237;Насадка для ухода за текстилем на пароочиститель;;0;2.863-233.0
238;Фильтр HEPA 13 (для пылесоса VC 3);;0;2.863-238.0
239;Щетка для мебели (на пылесос VC 5);;0;2.863-241.0
240;Набор насадок для пола EasyFix на пароочистители;;0;2.863-267.0
241;Чехол на гладильную доску Керхер;;0;2.884-969.0
242;Моющая насадка для пылесоса SE;;0;2.885-018.0
243;Напорный пульверизатор 1 л;;0;6.394-374.0
244;Плоский складчатый фильтр Эко;;0;6.414-498.0
245;Патронный фильтр для пылесосов Karcher ;;0;6.414-552.0
246;Промежуточный фильтр защиты электродвигателя для пылесосов DS;;0;6.414-631.0
247;Фильтр НЕРА 12 (для пылесосов VC 6);;0;6.414-805.0
248;Сменный патронный фильтр к WD 4200/5300;;0;6.414-960.0
249;Фильтр Hepa 13 для Karcher DS;;0;6.414-963.0
250;Комплект фильтров для пылесосов SE ;;0;6.904-143.0
251;Фильтр-мешок 3х-слойный для T12/1;;0;6.904-315.0
252;Бумажные фильтр-мешки для пылесосов WD 2;;0;6.904-322.0
253;Фильтр-мешки из нетканного материала для пылесоса VC;;0;6.904-329.0
254;Бумажные фильтр-мешки для профессиональных пылесосов ;;0;6.904-333.0
255;Фильтр-мешки для пылесосов серии NT;;0;6.904-351.0
256;Плоский фильтр к пылесосам NT (только для замены) ;;0;6.904-367.0
257;Щелевая насадка DN35;;0;6.906-240.0
258;Набор флисовых мешков для пылесоса серии NT 35 ;;0;6.907-479.0
259;Бумажные фильтр-мешки для бытовых пылесосов (WD, SE) ;;0;6.959-130.0
260;Салфетки для пола на пароочиститель;;0;6.960-019.0
261;Karcher K 3 Full Control мойка высокого давления;;0;1.602-600.0
262;Karcher K 4 Basic мойка высокого давления;;0;1.180-080.0
263;Karcher S 550 ручная подметальная машина;;0;1.766-206.0
264;Karcher S 750 ручная подметальная машина;;0;1.766-912.0
265;Karcher WD 3 Car хозяйственный пылесос;;0;1.629-809.0
266;Karcher SC 1 пароочиститель;;0;1.516-300.0
267;Karcher FC 5 аппарат для влажной уборки пола;;0;1.055-500.0
268;PUZZI 8/1 C моющий пылесос;;0;1.100-225.0
269;T 7/1 Classic *EU пылесос сухой уборки;;0;1.527-181.0
270;Puzzi 10/2 Adv профессиональный моющий пылесос;;0;1.193-120.0
271;NT 65/2 Ap пылесос влажной и сухой уборки;;0;1.667-291.0
272;NT 27/1 пылесос влажной и сухой уборки;;0;1.428-500.0
273;HD 9/20-4 M мойка высокого давления;;0;1.524-924.0
274;HD 7/16-4 M *EU мойка высокого давления;;0;1.524-955.0 
277;T 10/1 Adv пылесос сухой уборки;;0;1.527-154.0
278;NT 27/1 ME промышленный пылесос Antracite;;0;1.428-100.0
279;HD 5/12 C мойка высокого давления;;0;1.520-900.0
280;HD 5/17 C *EU мойка высокого давления;;0; 1.520-940.0
281;HD 6/15 M *EU мойка высокого давления;;0;1.150-930.0
282;HD 6/16-4 M *EU мойка высокого давления  (заменена на HD 7/14 -4M);;0;1.524-900.0
283; HD 7/14 -4M мойка высокого давления;;0;1.524-930.0
284;HD 7/18-4 M Classic мойка высокого давления;;0;1.524-912.0
285;HD 10/21-4 S *EU-I мойка высокого давления;;0;1.286-916.0
286;HD 10/23-4 S мойка высокого давления;;0;1.286-922.0
